0x80000000:jal    zero,0x00050        pc=0x800000a0,zero=0x80000004
0x800000a0:auipc  sp,0x00008          sp=0x00008000+0x800000a0=0x800080a0
0x800000a4:addi   sp,sp,0xf60         sp=0x800080a0+0xffffff60=0x80008000
0x800000a8:jal    ra,0xfffcc          pc=0x80000040,ra=0x800000ac
0x80000040:auipc  a0,0x00000          a0=0x00000000+0x80000040=0x80000040
0x80000044:addi   a0,a0,0x080         a0=0x80000040+0x00000080=0x800000c0
0x80000048:auipc  a1,0x00000          a1=0x00000000+0x80000048=0x80000048
0x8000004c:addi   a1,a1,0x078         a1=0x80000048+0x00000078=0x800000c0
0x80000050:sw     zero,0x000(a0)      mem[0x800000c0]=0x00000000
0x80000054:addi   a0,a0,0x004         a0=0x800000c0+0x00000004=0x800000c4
0x80000058:blt    a0,a1,0xffc         (0x800000c4<0x800000c0)=0->pc=0x8000005c
0x8000005c:jalr   zero,ra,0x000       pc=0x800000ac+0x00000000,zero=0x80000060
0x800000ac:jal    ra,0x00006          pc=0x800000b8,ra=0x800000b0
0x800000b8:addi   a0,zero,0x000       a0=0x00000000+0x00000000=0x00000000
0x800000bc:jalr   zero,ra,0x000       pc=0x800000b0+0x00000000,zero=0x800000c0
0x800000b0:jal    zero,0xfffd8        pc=0x80000060,zero=0x800000b4
0x80000060:addi   sp,sp,0xff0         sp=0x80008000+0xfffffff0=0x80007ff0
0x80000064:sw     a0,0x004(sp)        mem[0x80007ff4]=0x00000000
0x80000068:addi   a0,zero,0x020       a0=0x00000000+0x00000020=0x00000020
0x8000006c:lui    a1,0x00020          a1=0x00020000
0x80000070:addi   a1,a1,0x026         a1=0x00020000+0x00000026=0x00020026
0x80000074:sw     a1,0x000(sp)        mem[0x80007ff0]=0x00020026
0x80000078:add    a1,zero,sp          a1=0x00000000+0x80007ff0=0x80007ff0
0x8000007c:jal    ra,0x0000a          pc=0x80000090,ra=0x80000080
0x80000090:slli   zero,zero,31        zero=0x00000000<<31=0x00000000
0x80000094:ebreak
